landmark,x_std,y_std,combined_std,passed
0,1.5352808793965924,1.690287885234131,2.2834536372806093,False
1,1.419909320558294,1.6272532701917528,2.159651750620472,False
2,1.3399086151023658,1.5956922325266056,2.0836479543750386,False
3,1.2142504363952686,1.631501521972957,2.0337653105720372,False
4,1.119337619282717,1.7927920485818225,2.113532596247266,False
5,1.0792225711946386,1.9651706985836888,2.2420118716786206,False
6,1.102937690585227,2.168543770458361,2.4329105272712432,False
7,1.1689076681794741,2.3771298726041774,2.648979344569513,False
8,1.1279897090935094,2.38467807018772,2.638001190722834,False
9,1.0063821643355528,2.1659025700337198,2.3882920683139623,False
10,0.9593163221539158,1.838890710638892,2.074079760188823,False
11,0.9686169021844926,1.6228701239397958,1.8899540053593502,True
12,0.9932252367946255,1.5616794490833716,1.850767157882126,True
13,1.0494121218916312,1.5346502163826838,1.8591441816643792,True
14,1.1388295714950851,1.4088016136323969,1.8115338195807784,True
15,1.247128434659945,1.2435848516992116,1.7612020372214865,True
16,1.3330300971671616,1.108014431945469,1.7333970178100955,True
17,1.8596288155421654,2.013154340354874,2.7406221428143693,False
18,1.934105566030313,2.008857023426079,2.788596579126806,False
19,1.9602643536076896,1.9736452845694987,2.7817102734340238,False
20,1.963533981051904,1.9769760616140317,2.7863775844168117,False
21,1.9542941470141835,1.9363129989414993,2.751104077079549,False
22,1.8806583470225595,1.754131167365628,2.5717410387807567,False
23,1.7793670172626301,1.6512701986101104,2.4275173018827245,False
24,1.6916491283328905,1.5449218583991255,2.2909518375445685,False
25,1.6692460010938648,1.5605255845786796,2.2850869375786313,False
26,1.6620027116971225,1.5905526956009601,2.3004588436162186,False
27,1.8521219096278487,1.9316906767558157,2.6761510493223004,False
28,1.8302136285819537,2.0964641588629753,2.7829559636552217,False
29,1.8126726380602705,2.270330219279494,2.9051990288698044,False
30,1.7953785474878414,2.444783488866223,3.0332079447694404,False
31,1.65492897621573,2.1922473897919588,2.7467687442462463,False
32,1.6387886182911346,2.2315096973981072,2.7686212570560023,False
33,1.611212947977055,2.250159275615674,2.7675302942096525,False
34,1.5880935219129644,2.1698818926073424,2.688945604174087,False
35,1.5530396700924416,2.0659154433611127,2.584557764105647,False
36,1.8270639769423025,1.943165986790584,2.667218931407777,False
37,1.8849279462221018,1.9952301181333492,2.744794452551136,False
38,1.9093266405395868,1.9316034376293203,2.715993383742971,False
39,1.8543769520376443,1.8054289040883218,2.5881049839537003,False
40,1.845808760690917,1.8829013510330443,2.6367266598503156,False
41,1.8037968099768729,1.9435532596648377,2.6516187895013412,False
42,1.6637497332449016,1.6342823543029363,2.3321539375561016,False
43,1.661551770542551,1.6546602444948444,2.3449210670947593,False
44,1.6856205687378771,1.6207721356328781,2.33842233512173,False
45,1.650823177576621,1.4708485441847663,2.2110207153155796,False
46,1.6864064317510752,1.5601522526923246,2.297398899763019,False
47,1.661480100280076,1.6138535260578297,2.31625545378656,False
48,1.3435812852915536,2.241350820764967,2.613209553772811,False
49,1.464424716864659,2.373539473989645,2.7889477201896735,False
50,1.5372572299238594,2.324550617328498,2.7868791440382696,False
51,1.488521027827405,2.314005565509351,2.7514208343131745,False
52,1.4465800770123443,2.265834626860091,2.688233709238698,False
53,1.3832442854380358,2.1522268256788073,2.5584067429493023,False
54,1.3574228327963227,1.9711687462948628,2.393345560792769,False
55,1.3623925911182047,2.1493207304226454,2.5447383312549663,False
56,1.4169525862962278,2.2635157442044362,2.670441565747682,False
57,1.4603749830676982,2.329431449332192,2.7493537364820586,False
58,1.4946666319674824,2.332663410555409,2.770441648485131,False
59,1.41346738604888,2.303269553992083,2.7023953614840934,False
60,1.3632099033772047,2.269020363412122,2.647035067815416,False
61,1.5057845195800748,2.338661758642367,2.781497050284829,False
62,1.467846079745317,2.32313473485332,2.748004204892289,False
63,1.4182031057731044,2.271625626778875,2.6779811495720045,False
64,1.3773560113532994,2.034490362544016,2.4568802610822433,False
65,1.4200287333958683,2.192780150777552,2.6124253852146473,False
66,1.472925929136685,2.2573527960826048,2.6953946721593707,False
67,1.5090743628113308,2.2647345843405184,2.721456993965263,False
